name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence,mood
Bam Bam (feat. Ed Sheeran),Camila Cabello,0QBzMgT7NIeoCYy3sJCof1,0.756,0.697,0.325223880597015,0.0401,0.182,94.996,0.333,0.956,1
How Will I Know,Whitney Houston,79wbJeLkXOlJh4AzaWCWfL,0.761,0.739,0.741044776119403,0.0369,0.178,118.997,0.23,0.656,1
Pick Me Up,Sam Feldt,6VYIVgVqEIwzRwpJz5rMa4,0.688,0.662,0.4456716417910448,0.0441,0.0971,115.106,0.172,0.549,1
Love Me Now (feat. Zoe Wees),Kygo,1c1sdxrYLIiuJOlE7PPttb,0.662,0.489,0.22223880597014922,0.0525,0.163,102.04,0.172,0.506,1
Love You Better,John De Sohn,4UuGBDjt8gLXsANZqZxMBz,0.733,0.786,0.15850746268656724,0.0422,0.0931,102.999,0.1,0.786,1
Lovefool,twocolors,51Of5p3lKZeOg6itfs4og4,0.677,0.766,0.24776119402985075,0.0568,0.0219,123.062,0.129,0.198,1
Don’t Wake Me Up,Jonas Blue,3LEgGAl9zLcQWGTp7ptqtQ,0.621,0.747,0.5182089552238807,0.0337,0.222,124.015,0.147,0.426,1
I Don't Know Why,NOTD,0ZXdzaT1k688dkpNeEgQiV,0.499,0.898,0.6529850746268657,0.124,0.124,120.04,0.0832,0.618,1
Ooh Girl (feat. A Boogie Wit da Hoodie),Kris Kross Amsterdam,1mKNyZCNDueEASgBgZuLdA,0.726,0.781,0.6388059701492538,0.0525,0.139,104.976,0.274,0.579,1
Holiday,KSI,3G2omDJ5ZGYSiJV3UOOPw0,0.356,0.684,0.18044776119402983,0.0878,0.152,87.188,0.101,0.347,1
Iko Iko (My Bestie),Justin Wellington,7MC4XR9M9amdmKQr2iDF7i,0.862,0.753,0.4776119402985075,0.0625,0.131,105.039,0.077,0.827,1
This Feeling (feat. Kelsea Ballerini),The Chainsmokers,15kQGEy89K8deJcZVFEn0N,0.539,0.651,0.48537313432835816,0.0432,0.0651,105.159,0.0662,0.474,1
Crazy What Love Can Do,David Guetta,1WCEAGGRD066z2Q89ObXTq,0.601,0.713,0.7161194029850747,0.0449,0.0282,122.872,0.158,0.464,1
Big Energy,Latto,6Zu3aw7FfjAF9WA0fA81Oq,0.935,0.807,0.7526320607891603,0.114,0.0514,106.017,0.349,0.813,2
BULLDOG,LAUNDRY DAY,0kj8iOWDgQqiRbDWQSJsWb,0.808,0.448,0.5371235008697243,0.0866,0.116,124.011,0.148,0.602,2
The Spins,Mac Miller,51pshtuYkgUQnt5huMPbKL,0.794,0.766,0.7475052641215783,0.0377,0.0135,127.007,0.0785,0.55,2
The Good Part,AJR,50kmOL6NMU98y6eJTlSicJ,0.291,0.443,0.6118282523116358,0.0369,0.0922,185.934,0.382,0.532,2
I Look Good,O.T. Genasis,79aQX5Uq6t8apowFe5uueL,0.919,0.601,0.6543989746406664,0.144,0.375,95.018,0.162,0.44,2
Livin It Up (with Post Malone & A$AP Rocky),Young Thug,7zjEyeBsaw9gV0jofJLfOM,0.767,0.313,0.0,0.0798,0.838,82.582,0.105,0.765,2
Just a Cloud Away,Pharrell Williams,4UPQiDmYScn2C6S2C2WATY,0.888,0.459,0.3575025176233635,0.0357,0.426,112.56,0.11,0.704,2
Raingurl,Yaeji,5z1wOyEyoRu0HTkXYvuqiH,0.929,0.573,0.46919344502426064,0.0511,0.0173,128.037,0.122,0.305,2
Burning,The Whitest Boy Alive,0QgR03vMDoBoLgcu08EtKl,0.721,0.758,0.41408038084775234,0.0372,0.669,150.825,0.133,0.865,2
3 Nights,Dominic Fike,1tNJrcVe6gwLEiZCtprs1u,0.815,0.518,0.5003204247917238,0.0897,0.223,151.891,0.104,0.877,2
I Want U,No Rome,52ewMn6BRCU9hAPysg8TLm,0.509,0.894,0.9999999999999999,0.083,0.1,91.881,0.258,0.319,2
I Can't Help But Feel,Surfaces,40gooTta3y4FgzXaMOGDJL,0.722,0.706,0.6872654032774879,0.0314,0.328,114.983,0.108,0.715,2
Cupid's Chokehold / Breakfast in America,Gym Class Heroes,2Lhdl74nwwVGOE2Gv35QuK,0.72,0.744,0.46882724526229047,0.12,0.237,78.953,0.255,0.619,2
Slide (feat. Frank Ocean & Migos),Calvin Harris,6gpcs5eMhJwax4mIfKDYQk,0.736,0.795,0.8019774787146388,0.0545,0.498,104.066,0.254,0.511,2
buzz cut (feat. MisterWives),lovelytheband,3ZM7EQicqJZinzks0T4Zrq,0.636,0.845,0.515151515151515,0.0504,0.0342,146.956,0.174,0.866,2
Cutie,COIN,4nLTOnpSCBwRlul92HLIyW,0.682,0.609,0.5206445115810674,0.139,0.000928,111.991,0.142,0.723,2
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0.7186670328664285,0.0465,0.122,95.39,0.335,0.557,2
Tainted Love,Isaac Dunbar,2nx6I5R9C8nfBofUdlXoRA,0.628,0.695,0.6162226494552777,0.0327,0.0378,113.972,0.358,0.398,2
Levels - Original Version,Avicii,6Xe9wT5xeZETPwtaP2ynUz,0.602,0.834,0.502242973542067,0.0358,0.0297,125.99,0.34,0.353,2
Up Up & Away,Kid Cudi,1RUTIdTnFs8lHSc0Zr4UJB,0.66,0.881,0.5438066465256797,0.0849,0.0722,120.017,0.362,0.586,2
Borderline,Tame Impala,5hM5arv9KDbCHS0k9uqwjr,0.621,0.873,0.8232170649089077,0.0369,0.0406,97.96,0.0824,0.873,2
Saturday Sun,Vance Joy,1WZRe3PnxllLd9PPzbPLeo,0.63,0.867,0.7072232903048612,0.0476,0.495,99.974,0.18,0.706,2
sunburn,almost monday,4gBkCqlITvat2A3aYPtMqS,0.691,0.742,0.6879978028014281,0.0321,0.00372,111.98,0.495,0.788,2
Meet Me At Our Spot,THE ANXIETY,07MDkzWARZaLEdKxo6yArG,0.773,0.47,0.3780097042936922,0.0299,0.0153,94.995,0.0851,0.399,2
summer&cigarettes,sammy rash,5PmtPTXrLqgqQfqngsUqZp,0.834,0.402,0.1631419939577039,0.072,0.76,122.008,0.279,0.684,2
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,6f5ExP43esnvdKPddwKXJH,0.717,0.671,0.639201684518905,0.0337,0.0018,110.054,0.0921,0.699,2
Elastic,Joey Purp,4MAADpR6MjelkaZqe3Mgnv,0.966,0.435,0.6513778266044126,0.0674,0.0604,111.16,0.0511,0.561,2
Chicken Tenders,Dominic Fike,4sYbZjRCyaFqCtJ2Uvfh8B,0.746,0.741,0.6042296072507551,0.0567,0.268,119.983,0.644,0.72,2
More Than Friends,Aidan Bissett,1Ph96WpdjNlwD6iKRE2Xa3,0.559,0.655,0.48219353657420116,0.051,0.58,160.016,0.124,0.667,2
Good Advice,Peach Tree Rascals,2mAjXnUG4QJAypppi5J2lA,0.781,0.647,0.6698709145839055,0.0412,0.145,105.038,0.0635,0.912,2
Toast,Koffee,7sd72KZS8D59g5NmhxyHpJ,0.906,0.638,0.3791998535200951,0.256,0.0342,99.959,0.0725,0.789,2
Chiquitita,ABBA,762B4bOcXF7I2Y8UlKTyTy,0.5,0.554,0.36171381488602017,0.0354,0.734,84.229,0.312,0.372,2
Can't Do Without (My Baby),Cosmo's Midnight,4hG6H7xPvEleJD9QUEqaAS,0.654,0.94,0.5525038908724709,0.0633,0.163,118.001,0.324,0.787,2
Solar Power,Lorde,3KdoeNlEN0BoAKWzaRLNZa,0.735,0.47,0.24297354206719768,0.1,0.266,87.971,0.32,0.897,2
SMILE,Arden Jones,6eshn81GQPqBfv7TEOyoTI,0.649,0.562,0.451066556806738,0.141,0.474,168.067,0.122,0.702,2
Fire for You,Cannons,4o0LyB69tylqDG6eTGhmig,0.737,0.678,0.4621440996063352,0.0962,0.114,102.051,0.123,0.698,2
Oysters in My Pocket,Royel Otis,5nkeTRV4E4ZAlc4s1aRgYK,0.597,0.924,0.6486313283896363,0.0624,0.0205,168.023,0.17,0.611,2
8TEEN,Khalid,5bgwqaRSS3M8WHWruHgSL5,0.83,0.585,0.5728279776618145,0.0366,0.225,105.03,0.0576,0.642,2
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,2Foc5Q5nqNiosCNqttzHof,0.794,0.811,0.2831639659434221,0.038,0.0426,116.047,0.101,0.862,2
Weatherman,Eddie Benjamin,5CmIIBRVQWLX2uXAkuBlS8,0.772,0.437,0.4744117916323354,0.0298,0.183,96.971,0.243,0.814,2
5 Years Time,Noah And The Whale,5VaPx8jYNENRGmOOhScbW1,0.804,0.552,0.4532637553785589,0.113,0.4,121.996,0.1,0.748,2
Crazy For Your Love,JAWNY,0ZP0ydUAykSmWBvTDCjrzf,0.704,0.564,0.4106930330495284,0.0379,0.218,114.967,0.07,0.607,2
Sour Patch Kids,Bryce Vine,5DJNyvuMmZfsfvdTpMMmUq,0.523,0.783,0.6385608349354572,0.0545,0.0144,76.588,0.219,0.581,2
Heybb!,binki,3sN85u5M7FoMmHa8E2aViO,0.654,0.972,0.8410693033049528,0.103,0.0174,117.009,0.402,0.687,2
Bleach,Isaac Dunbar,3j8mwslzqj90yjWWNwwff8,0.66,0.695,0.7197656321523389,0.0318,0.0638,113.047,0.213,0.577,2
Summer,Calvin Harris,6YUTL4dYpB9xZO5qExPf05,0.596,0.856,0.7784491440080563,0.0346,0.0211,127.949,0.141,0.743,2
Fireflies,Owl City,3DamFFqW32WihKkTVlwTYQ,0.512,0.662,0.48173578687173846,0.0439,0.0275,180.114,0.118,0.472,2
FANTAZIA,Roy Blair,3XetDJxSDARsex7zU9KEpM,0.866,0.526,0.45143275656870807,0.24,0.314,126.001,0.173,0.651,2
Complicated (feat. Young Franco),Winston Surfshirt,0qjOgJ8BLIt5d9VgYEYq75,0.87,0.493,0.34798132381213953,0.403,0.198,114.014,0.0951,0.801,2
Midnight City,M83,1eyzqe2QqGZUmfcPZtrIyt,0.526,0.712,0.5066373706857089,0.0356,0.0161,105.009,0.179,0.32,2
YOU'RE THE ONE,KAYTRANADA,70kdJnm1X6eEM8DbWa8Mnc,0.824,0.396,0.21935365742012258,0.332,0.0323,118.048,0.108,0.253,2
One More Weekend,Maude Latour,19YOJKCVvOL7v6B2Oe3UBc,0.627,0.565,0.47029204431017113,0.122,0.537,131.083,0.214,0.514,2
Tell Me The Truth,FireCityFunk,4t50safk602YboSVyGenFk,0.815,0.509,0.20708596539412238,0.123,0.0629,114.572,0.0676,0.87,2
Marlboro Nights,Lonely God,7fuQc3IfjiB1gCqP9c1Xvy,0.466,0.823,0.49665842717202224,0.31,0.00237,175.802,0.332,0.782,2
Memories (feat. Kid Cudi),David Guetta,5xYC48nOppVemY6U5GRGTb,0.546,0.916,0.7440263663828617,0.255,0.00144,129.983,0.251,0.375,2
Weekend Friend,Goth Babe,2d3QlXE6FXFDeodiS66yjM,0.409,0.594,0.21367756110958525,0.031,0.032,110.187,0.0904,0.212,2
Magic - Edit,Polo & Pan,6Sy5ie6qrZxdrdfSArtOTH,0.595,0.717,0.419115627574842,0.112,0.111,113.048,0.102,0.284,2
Be Around Me,Will Joseph Cook,1O8Cn9KeZxffkhDXMFFWxH,0.753,0.703,0.6375537855900393,0.0621,0.0814,82.477,0.442,0.814,2
Can I Kick It?,A Tribe Called Quest,3Ti0GdlrotgwsAVBBugv0I,0.848,0.666,0.5046232719948731,0.274,0.173,96.662,0.129,0.744,2
Good Life,OneRepublic,6OtCIsQZ64Vs1EbzztvAv4,0.634,0.69,0.38954499679575194,0.052,0.0771,94.988,0.132,0.645,2
Sober,Childish Gambino,5NhlpQ6BOIz3S5welptk1W,0.707,0.562,0.40629863590588655,0.0305,0.124,98.094,0.561,0.418,2
Sheesh!,Surfaces,3ddNKnYpVx0uI8vcwbTQ5Y,0.743,0.832,0.743568616680399,0.0611,0.161,149.951,0.0925,0.801,2
Incredible,Future,2qwn6whaZf7gax7SaqUZSC,0.79,0.438,0.5124050169367389,0.133,0.0634,90.022,0.1,0.247,2
Dugout,The Backseat Lovers,2Wbssw1v5pKtnBaQ1doY1Z,0.31,0.537,0.21129726265677928,0.0368,0.016,112.255,0.0861,0.123,2
Passionfruit,Drake,5mCPDVBb16L4XQwDdbRUpz,0.809,0.463,0.062437059415911156,0.0396,0.256,111.98,0.109,0.364,2
Only You,Steve Monite,3NcGNpeJ3rouV7fQ3dtv04,0.786,0.921,0.4776160395495742,0.101,0.0552,118.373,0.0629,0.628,2
A-O-K,Tai Verdes,1sx0XsWUusUoPstbvokZjP,0.731,0.626,0.47056669413164876,0.0805,0.125,82.488,0.183,0.862,2
Dopamine,Franc Moody,4sFyLyuJOUVMDcaSg1oHEa,0.818,0.562,0.3918337453080655,0.0356,0.0987,125.03,0.355,0.57,2
For A Minute,WizTheMc,2zAKwUD7TVTt8qTxa9bnQJ,0.711,0.778,0.5230248100338734,0.0897,0.0273,160.018,0.103,0.827,2
So Hot You're Hurting My Feelings,Caroline Polachek,5B6Kjha6RRIMWGN7zGsAaT,0.795,0.576,0.648905978211114,0.0289,0.0787,111.975,0.121,0.847,2
C.U.D.I (Can U Dig It),Cosmo's Midnight,1YNejxrTddSkGseyZRDZRG,0.609,0.878,0.5009612743751716,0.0438,0.0344,113.985,0.202,0.674,2
Glitter,BENEE,23TPP1eeElFfvYVznskwCY,0.801,0.589,0.6318776892795018,0.0485,0.0863,116.934,0.162,0.58,2
Funny Thing,Thundercat,1c5CllrZr45UBhWpIqM332,0.586,0.893,0.30092465439897453,0.439,0.827,140.023,0.212,0.65,2
